"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[24,1]",6.83383421451047,0.00318499030753383,0.33280681880413,6.22345162828617,6.60106625113983,6.82104255372344,7.05440049010684,7.51116622171455,10918.6313167166,1.00014756614675
"mu[24,2]",6.11417624164127,0.00212621144841759,0.233896224768093,5.66080293434691,5.95595262677427,6.11416845464819,6.27377679117429,6.57534080999935,12101.3415769815,0.999874858437251
"mu[24,3]",5.70980159490214,0.00214920477275628,0.23597705297224,5.25071040397682,5.55129057853378,5.71096712768093,5.87133316483367,6.17795005592603,12055.4646385272,0.999876296102826
"mu[24,4]",5.15268918205379,0.00295423049754912,0.299345269700857,4.55762203399186,4.9528046325684,5.16189154187976,5.35582769446544,5.72513827791131,10267.295112118,0.999976683731379
"mu[25,1]",5.68755660081903,0.00334576811391894,0.340562964379983,5.03930620202179,5.44981552486143,5.68351126778116,5.91690830846073,6.36391837717627,10361.0354366678,0.999974222385658
"mu[25,2]",4.93004413262708,0.00216693397547986,0.2365733906814,4.4608055521462,4.7726205599301,4.93184533277081,5.08782466396387,5.39268776169403,11919.0167732686,0.99975049817654
"mu[25,3]",4.52433115662248,0.00219496769622869,0.23887012616708,4.05202470524436,4.36576064673665,4.52515317778485,4.68252710287297,4.99155539071952,11843.1549613458,0.99975649880431
"mu[25,4]",3.94882261297479,0.00302060241780697,0.307102869494943,3.33554489916809,3.74883825554218,3.95510087897587,4.15839170720165,4.5335877459657,10336.6691877036,0.999896487910614
"mu[26,1]",6.88233588109904,0.0023736027470927,0.246641444469978,6.42574702561383,6.71188492892852,6.87020361450633,7.04211886241216,7.38801059429459,10797.3216351778,0.999749121179695
"mu[26,2]",6.31222833226554,0.00153937997200019,0.16710094577026,5.98435920890706,6.19776427869918,6.31093420187162,6.4286876047724,6.63674795384143,11783.2787623213,0.999888317836639
"mu[26,3]",5.91314097591141,0.001553634093394,0.168520854045909,5.58164771054751,5.79756232763412,5.91195171266937,6.03038909779401,6.23809571264538,11765.4845245299,0.999899639318362
"mu[26,4]",5.42870551036356,0.00203073739679426,0.215176378217729,5.0010549029181,5.2827379113646,5.43229192468725,5.5788120689796,5.82598459525271,11227.4635418694,0.999994029578759
"mu[27,1]",5.77504141117504,0.00231229096048541,0.233970286545309,5.32385533554729,5.61728645179186,5.77618568815598,5.93334388442697,6.23242516365791,10238.502746423,0.999946901576363
"mu[27,2]",4.63863814085602,0.00123270527255579,0.134886595191902,4.37283587441647,4.54773177157164,4.63920589409692,4.73002541504434,4.90374357503041,11973.443730691,1.00004474508077
"mu[27,3]",4.21952964485895,0.00124825033554166,0.136821211355685,3.95064841255953,4.12769521369264,4.21961024170658,4.3116150108525,4.48654284178988,12014.438519609,1.00005563213579
"mu[27,4]",3.4598917211952,0.00181629937646782,0.196282070186061,3.08056497845676,3.32799742017272,3.46081566593811,3.59098998181891,3.84598939079613,11678.481899708,1.00012534611138
"mu[28,1]",6.8045683952874,0.00335153796215495,0.350596803908243,6.14266838961941,6.56451049347231,6.80267763592578,7.03898729392658,7.50947282074156,10942.7787786934,0.999963164933991
"mu[28,2]",5.90433049362288,0.00210368976168853,0.233444174547395,5.44920878086274,5.74619949930291,5.90463119017914,6.05522833564318,6.3711777559558,12314.1005389745,0.999898841218756
"mu[28,3]",5.49357152181479,0.00213263368924837,0.235705147143741,5.03472816949604,5.3344696660409,5.49379499806619,5.64638934278789,5.96408345871442,12215.3411894045,0.999897805349557
"mu[28,4]",4.84870276823249,0.00293438566423371,0.306955212847905,4.24507584587313,4.64550388706079,4.84764282529819,5.0554855493299,5.45045875233832,10942.4769829516,0.999906139296132
"lp__",-526.380588135045,0.117615235060765,6.47869153916195,-540.29699218526,-530.463144629013,-526.023206951079,-521.794041959694,-514.796823044553,3034.22263777243,1.00053873604781
